"ID","FAMILY_ID","DR_DATE","DR_COMMENTS","LAST_UPDATED_BY","LAST_UPDATED_DATE","CREATED_BY","CREATED_DATE"
44439,2060,"17-05-2015","","",16-MAY-15 05.39.06.422000000 PM,"",16-MAY-15 05.39.06.422000000 PM
71322,3726,"28-02-2016","","",27-FEB-16 04.48.37.214000000 PM,"",27-FEB-16 04.48.37.214000000 PM
71323,3727,"28-02-2016","","",27-FEB-16 04.48.45.779000000 PM,"",27-FEB-16 04.48.45.779000000 PM
71324,3728,"28-02-2016","","",27-FEB-16 04.49.04.109000000 PM,"",27-FEB-16 04.49.04.109000000 PM
71325,3729,"28-02-2016","","",27-FEB-16 04.49.30.597000000 PM,"",27-FEB-16 04.49.30.597000000 PM
71326,3730,"28-02-2016","","",27-FEB-16 04.49.39.302000000 PM,"",27-FEB-16 04.49.39.302000000 PM
71327,3731,"28-02-2016","","",27-FEB-16 04.50.44.448000000 PM,"",27-FEB-16 04.50.44.448000000 PM
71328,3732,"28-02-2016","","",27-FEB-16 04.50.50.329000000 PM,"",27-FEB-16 04.50.50.329000000 PM
71329,3721,"28-02-2016","","",27-FEB-16 04.50.53.340000000 PM,"",27-FEB-16 04.50.53.340000000 PM
71330,3722,"28-02-2016","","",27-FEB-16 04.51.00.079000000 PM,"",27-FEB-16 04.51.00.079000000 PM
71331,3723,"28-02-2016","","",27-FEB-16 04.51.22.356000000 PM,"",27-FEB-16 04.51.22.356000000 PM
71332,3277,"28-02-2016","","",27-FEB-16 04.51.59.531000000 PM,"",27-FEB-16 04.51.59.531000000 PM
71333,3278,"28-02-2016","","",27-FEB-16 04.52.06.176000000 PM,"",27-FEB-16 04.52.06.176000000 PM
71334,3279,"28-02-2016","","",27-FEB-16 04.52.24.537000000 PM,"",27-FEB-16 04.52.24.537000000 PM
71335,3280,"28-02-2016","","",27-FEB-16 04.53.20.058000000 PM,"",27-FEB-16 04.53.20.058000000 PM
50594,2734,"30-07-2015","","",29-JUL-15 05.02.44.944000000 PM,"",29-JUL-15 05.02.44.944000000 PM
50595,2735,"30-07-2015","","",29-JUL-15 05.03.06.082000000 PM,"",29-JUL-15 05.03.06.082000000 PM
50596,2737,"30-07-2015","","",29-JUL-15 05.05.04.595000000 PM,"",29-JUL-15 05.05.04.595000000 PM
50597,2738,"30-07-2015","","",29-JUL-15 05.05.27.527000000 PM,"",29-JUL-15 05.05.27.527000000 PM
50598,2741,"30-07-2015","","",29-JUL-15 05.05.31.349000000 PM,"",29-JUL-15 05.05.31.349000000 PM
